AirportName,Number of Departures,Number of Connections,Year,Lat Airport,Lng Airport,Provinces
KUUJJUARAPIK,1226,7,2013,55.2828293,-77.7581727,ON
WEMINDJI,722,2,2014,53.01061259999999,-78.8309781,ON
SANDY LAKE,1473,8,2009,53.0641646,-93.3444368,ON
OTTAWA INTL,42150,102,2013,45.319212,-75.66916520000001,ON
SACHIGO LAKE,574,2,2012,53.0641646,-93.3444368,ON
NORTH BAY,1924,3,2018,46.3572071,-79.4270197,ON
PICKLE LAKE,446,2,2012,51.44695249999999,-90.21150349999999,ON
FORT HOPE,801,3,2012,51.561711,-87.906953,ON
MUSKRAT DAM,762,3,2012,53.44177089999999,-91.761989,ON
SHAMATTAWA,302,3,2009,55.85942,-92.08208599999999,ON
SARNIA,1269,1,2012,42.9932232,-82.3062709,ON
PIKANGIKUM,1613,10,2017,51.820011,-93.974114,ON
TIMMINS,4560,4,2006,48.566513,-81.37204299999999,ON
FORT SEVERN,313,2,2010,56.0186303,-87.67922539999999,ON
GILLAM,614,2,2018,56.357051,-94.705728,ON
SIOUX LOOKOUT,9752,49,2018,50.1151029,-91.9027131,ON
PICKLE LAKE,412,7,2004,51.44695249999999,-90.21150349999999,ON
FORT ALBANY,616,2,2011,52.2052291,-81.6882971,ON
WINDSOR,3065,5,2012,42.2715029,-82.9582822,ON
KINGSTON,2263,2,2012,44.22349,-76.599458,ON
GODS NARROWS,1898,6,2007,54.5534811,-94.4816864,ON
GODS RIVER,889,6,2016,54.838142,-94.0564339,ON
LANDSDOWNE HOUSE,2338,6,2008,52.197559,-87.9351437,ON
SANDY LAKE,1015,5,2013,53.0641646,-93.3444368,ON
PEAWANUCK,104,1,2013,54.98932600000001,-85.43906609999999,ON
NEMISCAU,518,2,2015,51.69103699999999,-76.13552589999999,ON
KASABONIKA,208,2,2006,53.524722,-88.642778,ON
NEMISCAU,516,2,2012,51.69103699999999,-76.13552589999999,ON
SUDBURY,5225,9,2015,46.6228445,-80.7956531,ON
FORT ALBANY,618,2,2012,52.2052291,-81.6882971,ON
ATTAWAPISKAT,412,2,2012,52.9265542,-82.4304748,ON
REPULSE BAY,782,6,2012,43.67771760000001,-79.6248197,ON
