,index,Unnamed: 0,lat,lng,city,state,date,year,month,Airport Name,Lat Airport,Lng Airport,Distance
389,391,391,42.9039269,-81.4455103,Mount Brydges (Canada),ON,2010-11-02T01:00:00.000Z,2010,11,Melbourne Airport,42.82444599999999,-81.548813,12.215847426475364
390,392,392,43.5414545,-80.3183535,Elmira (Canada),ON,2012-07-12T17:50:00.000Z,2012,7,Elmira (East) Airport,43.593756299999995,-80.51510440000001,16.923686699723355
391,393,393,44.1648915,-78.8040415,Nestleton (Canada),ON,1996-09-27T04:20:00.000Z,1996,9,Baldwin Airfield,44.267272,-79.34070299999998,44.3701218211426
392,394,394,42.3189421,-82.8863047,Tecumseh (Canada),ON,2012-08-24T21:30:00.000Z,2012,8,Cottam Airport,42.139764,-82.65274000000001,27.71077998659894
393,395,395,42.9981744,-82.30882038716479,Sarnia (Canada),ON,2014-09-01T18:25:00.000Z,2014,9,St. Clair County International Airport,42.91043899999999,-82.52809520000001,20.375509628840074
394,396,396,44.67942470000001,-79.31057750000002,Orillia (Canada),ON,2007-07-29T08:37:00.000Z,2007,7,Matchedash Lake Waterdrome,44.788925,-79.500198,19.33050016673497
395,397,397,43.4798639,-80.504122,Meaford (Canada),ON,2011-08-18T21:00:00.000Z,2011,8,Elmira (East) Airport,43.593756299999995,-80.51510440000001,12.684908004625353
396,398,398,44.1833,-79.8370971,Alliston (Canada),ON,2013-06-15T22:15:00.000Z,2013,6,Burbank Field,44.027743,-80.20532399999998,34.17490054234425
397,399,399,42.9037317,-79.6170804,Dunnville (Canada),ON,2013-06-29T22:20:00.000Z,2013,6,Port Colborne Airport,42.87635349999999,-79.35574989999998,21.562670995393997
398,400,400,42.7869606,-80.20019520000002,Port Dover (Canada),ON,2012-05-20T22:26:00.000Z,2012,5,Grand River Waterdrome,43.086110999999995,-80.05166700000001,35.3753717241999
399,401,401,43.85905115,-79.05890580953671,Pickering (Canada,ON,2016-05-13T13:00:00.000Z,2016,5,Billy Bishop Toronto City Airport,43.6284819,-79.39595770000001,37.32800607368902
400,402,402,43.89537670000001,-79.4455753,Naughton (Canada),ON,2013-04-22T05:25:00.000Z,2013,4,Tottenham/Volk Airport,43.993352,-79.781904,29.112744179873594
401,403,403,42.9326725,-80.5626695,Otterville (Canada),ON,2004-06-04T01:00:00.000Z,2004,6,Woodstock Airport,43.11107820000001,-80.82423829999998,29.110173926289185
402,404,404,44.1033103,-77.57589279999998,Trenton (Canada),ON,2001-04-11T07:40:00.000Z,2001,4,Belleville Airport,44.19195999999999,-77.309648,23.468707928589957
403,405,405,43.9877279,-77.1383746520964,Picton (Canada),ON,2009-01-26T20:30:00.000Z,2009,1,Belleville Airport,44.19195999999999,-77.309648,26.516298576475243
404,406,406,45.4009547,-75.6514303,Ontario (Eastern) (Canada),ON,2004-05-04T22:00:00.000Z,2004,5,Cascades Water Aerodrome,45.585833,-75.86805600000001,26.62576791412501
405,407,407,43.9638623,-78.16893879999998,Cobourg (Canada),ON,2014-12-26T20:30:00.000Z,2014,12,Elmhirst's Resort Waterdrome,44.25135999999999,-78.10324899999998,32.375137058637335
406,408,408,44.5840953,-78.8459403,Balsam Lake (Canada),ON,2013-08-25T00:30:00.000Z,2013,8,Head Lake Waterdrome,44.721575,-78.909864,16.09689608951468
407,409,409,42.2643357,-82.4214885,Tilbury (Canada),ON,2003-08-27T22:07:00.000Z,2003,8,Stoney Point (Le Cunff) Airport,42.295556,-82.535,9.984765805741636
408,410,410,44.8433048,-75.5463672,Spencerville (Canada),ON,2012-12-29T00:50:00.000Z,2012,12,Rideau Valley Air Park,45.103281,-75.627371,29.58965573930392
409,411,411,43.8490296,-79.0209588,Ajax (Canada),ON,2015-06-04T02:20:00.000Z,2015,6,Billy Bishop Toronto City Airport,43.6284819,-79.39595770000001,38.897792362521116
410,412,412,42.9234366,-80.7465882,Tillsonburg (Canada),ON,2015-10-13T10:34:00.000Z,2015,10,Woodstock Airport,43.11107820000001,-80.82423829999998,21.785542300000888
411,413,413,42.9981744,-82.30882038716479,Sarnia (Canada),ON,2014-07-13T22:30:00.000Z,2014,7,St. Clair County International Airport,42.91043899999999,-82.52809520000001,20.375509628840074
