,AirportName,Number of Departures,Number of Connections,Year
481,MOOSONEE,934,2,2012
482,ABBOTSFORD,2726,5,2015
483,CAT LAKE,574,2,2013
484,MIRABEL,639,3,2015
485,DAWSON CITY,626,3,2006
486,REPULSE BAY,400,7,2015
487,CAT LAKE,573,2,2011
488,RANKIN INLET,2675,17,2015
489,GILLAM,625,2,2015
490,FORT SEVERN,313,2,2009
491,FLIN FLON,935,3,2015
492,BAKER LAKE,610,4,2015
493,SUDBURY,5460,7,2017
494,KITCHENER,2206,5,2013
495,KENORA,799,3,2015
496,PIERRE ELLIOTT TRUDEAU INTL,94307,242,2012
497,DRYDEN,1073,5,2015
498,SAULT STE-MARIE,4431,4,2015
499,CROSS LAKE,913,2,2016
500,SIOUX LOOKOUT,9488,43,2017
501,YELLOWKNIFE,9433,35,2015
502,DAWSON CITY,441,3,2015
503,WHITEHORSE,2035,7,2007
504,TUKTOYAKTUK,939,1,2015
505,CALGARY INTL,88445,201,2016
506,INUVIK,3539,14,2015
507,SEPT ILES,5880,19,2015
508,WABUSH,3197,14,2015
509,KELOWNA,12015,24,2014
510,QUAQTAQ,728,2,2015
511,UMIUJAQ,827,3,2016
512,SANIKILUAQ,430,3,2015
513,FLIN FLON,621,2,2018
514,CAMBRIDGE BAY,1030,9,2006
515,IVUJIVIK,726,2,2015
516,SCHEFFERVILLE,1262,6,2015
517,KANGIRSUK,1040,3,2015
518,NAIN,1089,5,2015
519,NANISIVIK,103,1,2004
520,KUUJJUARAPIK,1367,6,2015
521,IGLOOLIK,912,10,2012
522,KANGIQSUALUJJUAQ,666,2,2015
523,AKULIVIK,726,2,2015
524,GODS RIVER,111,6,2015
525,CHESTERFIELD INLE,560,6,2015
526,THOMPSON,1947,13,2015
527,PIKANGIKUM,745,8,2015
528,NORWAY HOUSE,160,2,2015
529,AUPALUK,829,3,2014
530,GODS NARROWS,173,4,2015
531,CROSS LAKE,120,2,2015
532,TADOULE LAKE,60,1,2015
533,LAC BROCHET,66,1,2015
534,WINDSOR,2272,1,2008
535,STEPHENVILLE,311,2,2012
536,ST JOHN'S,10914,38,2015
537,WHITEHORSE,1791,9,2015
538,UMIUJAQ,826,3,2018
539,SASKATOON,11230,52,2016
540,BELLA COOLA,462,2,2005
541,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,27882,100,2015
542,SYDNEY,2408,7,2015
543,HALIFAX,26613,89,2015
544,DEER LAKE,4078,11,2015
545,LESTER B. PEARSON,205615,479,2015
546,CALGARY INTL,91757,166,2015
547,VANCOUVER INTL,117841,205,2015
548,PIERRE ELLIOTT TRUDEAU INTL,92716,284,2015
549,PORT MENIER,414,2,2014
550,"ROUND LAKE, OT",567,4,2014
551,THUNDER BAY,10679,12,2006
552,SACHIGO LAKE,476,2,2014
553,WEBEQUIE,580,5,2014
554,YELLOWKNIFE,8917,34,2017
555,ESKIMO POINT,627,4,2015
556,DEER LAKE,561,4,2014
557,SCHEFFERVILLE,594,6,2004
558,CAT LAKE,378,6,2017
559,HALL BEACH,206,2,2003
560,LANDSDOWNE HOUSE,561,4,2014
561,CAT LAKE,476,3,2014
562,FORT GOOD HOPE,1096,3,2014
563,KASABONIKA,510,6,2014
564,BRANDON,365,1,2014
565,ST JOHN'S,11116,29,2004
566,MONT TREMBLANT,184,4,2018
567,ROUYN,1490,3,2010
568,PRINCE ALBERT,12,1,2014
569,CHURCHILL FALLS,468,2,2014
570,ALMA,232,2,2014
571,ST HUBERT,1942,5,2014
572,WINDSOR,2340,4,2010
573,STEPHENVILLE,289,3,2014
574,NEMISCAU,270,2,2018
575,CHESTERFIELD INLE,1451,4,2013
576,THOMPSON,1699,3,2013
577,KAPUSKASING,293,1,2016
578,NATASHQUAN,1257,6,2014
579,MARY'S HARBOUR,22,2,2014
580,ST ANTHONY,741,4,2014
581,PORT HARDY,1565,3,2014
582,BATHURST,971,2,2014
583,GOOSE BAY,4241,16,2014
584,DRYDEN,1173,5,2018
585,PENTICTON,1225,2,2014
586,MONT TREMBLANT,200,4,2014
587,GASPE,1460,2,2014
588,CASTLEGAR,1348,2,2014
589,BAIE COMEAU,1696,6,2014
590,GRANDE PRAIRIE,2577,7,2004
591,OXFORD HOUSE,1224,8,2018
592,NANAIMO ARPT,3625,3,2014
593,SMITHERS,1488,5,2014
594,CLYDE RIVER,533,2,2005
595,TERRACE,3806,6,2014
596,FORT SMITH,1277,4,2015
597,FORT ST JOHN,3532,6,2014
598,WILLIAMS LAKE,2061,3,2014
599,IGLOOLIK,819,8,2018
600,QUESNEL,973,2,2014
601,CHIBOUGAMAU,514,2,2011
602,COMOX,5510,7,2014
603,RAINBOW LAKE,292,2,2014
604,HIGH LEVEL,804,4,2014
605,ST JOHN,2602,6,2014
606,ILES DE LA MADELE,1425,4,2016
607,LETHBRIDGE,2082,1,2014
608,FREDERICTON,3181,5,2014
609,KENORA,1370,3,2006
610,AKLAVIK,544,1,2016
611,MOOSONEE,1128,3,2007
612,TALOYAK,566,6,2014
613,PANGNIRTUNG,1249,5,2014
614,POVUNGNITUK,53715,126,2011
615,SMITHERS,1204,5,2007
616,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,31819,114,2016
617,REGINA,9744,38,2017
618,BAGOTVILLE,1656,10,2017
619,RESOLUTE,363,2,2014
620,GJOA HAVEN,773,7,2014
621,CLYDE RIVER,1003,6,2014
622,COPPERMINE,1086,5,2014
623,GOOSE BAY,3977,15,2004
624,EASTMAIN,722,2,2014
625,SANDY LAKE,773,5,2014
626,PEAWANUCK,103,1,2014
627,GRISE FIORD,105,1,2016
628,NEMISCAU,516,2,2014
629,SACHIGO LAKE,931,9,2017
630,ILES DE LA MADELE,1080,4,2009
631,MOOSONEE,1025,3,2014
632,FORT ST JOHN,2374,11,2004
633,SYDNEY,2450,4,2018
634,ATTAWAPISKAT,412,2,2014
635,WHALE COVE,1020,5,2014
636,REPULSE BAY,551,8,2014
637,CHESTERFIELD INLE,1450,6,2014
638,THOMPSON,1496,4,2014
639,IQALUIT,4367,24,2014
640,FORT FRANKLIN,1157,3,2016
641,KITCHENER,564,1,2004
642,RANKIN INLET,3959,23,2014
643,GILLAM,602,2,2014
644,ROBERVAL,215,2,2014
645,BAKER LAKE,1263,6,2014
646,LONDON,5550,14,2014
647,MONCTON,5747,19,2014
648,KINGSTON,2536,3,2014
649,KAPUSKASING,459,2,2014
650,SUDBURY,5242,10,2014
651,RED LAKE,3576,9,2014
652,KENORA,1019,4,2014
653,KITCHENER,1273,6,2014
654,FORT SIMPSON,662,3,2010
655,DRYDEN,1364,5,2014
656,FLIN FLON,995,4,2014
657,FORT FRANCES,1086,3,2014
658,HAY RIVER,1328,6,2014
659,PAULATUK,157,1,2014
660,SEPT ILES,7760,28,2014
661,SALLUIT,732,3,2014
662,KANGIKSUJUAQ,726,2,2014
663,UMIUJAQ,726,3,2014
664,TASIUJUAQ,829,2,2014
665,FORT ST JOHN,2751,7,2017
666,CAPE DORSET,932,7,2014
667,LESTER B. PEARSON,217743,414,2017
668,SANIKILUAQ,430,3,2014
669,KANGIRSUK,1037,3,2014
670,IVUJIVIK,726,2,2014
671,SOUTH INDIAN LAKE,313,1,2017
672,LA GRANDE,688,3,2014
673,VANCOUVER INTL,130560,228,2018
674,HOLMAN,312,3,2012
675,WASKAGANISH,1289,5,2007
676,VICTORIA,15859,22,2014
677,SASKATOON,12336,41,2014
678,SYDNEY,2290,5,2014
679,BAGOTVILLE,1827,9,2014
680,REGINA,12290,42,2014
681,JEAN LESAGE INTL,20282,62,2014
682,CALGARY INTL,96146,165,2018
683,FORT FRANCES,1314,2,2005
684,DEER LAKE,4184,7,2014
685,"ROUND LAKE, OT",743,3,2013
686,DEER LAKE,521,3,2013
687,CORAL HARBOUR,576,4,2008
688,CAMBRIDGE BAY,756,7,2016
689,BELLA COOLA,344,2,2009
690,PIKANGIKUM,1028,6,2013
691,FORT SEVERN,307,4,2013
692,FORT GOOD HOPE,691,4,2013
693,KASABONIKA,654,5,2013
694,BRANDON,120,1,2013
695,OTTAWA INTL,37736,115,2016
696,PRINCE ALBERT,15,1,2013
697,CHURCHILL FALLS,331,2,2013
698,ST HUBERT,2505,4,2013
699,ST JOHN,3720,8,2005
700,ABBOTSFORD,2525,4,2013
701,FORT SMITH,1305,4,2013
702,PEAWANUCK,103,1,2017
703,MUSKRAT DAM,104,1,2006
704,SANDY LAKE,2440,16,2017
705,SANDSPIT,431,1,2006
706,KAPUSKASING,305,1,2015
707,CORAL HARBOUR,665,5,2017
