,AirportName,Number of Departures,Number of Connections,Year
2173,ISLAND LAKE/GARDEN HILL,159,3,2005
2174,MASSET,283,1,2008
2175,WASKAGANISH,1190,4,2011
2176,BUTTONVILLE,811,2,2004
2177,KITCHENER,1591,3,2010
2178,NANISIVIK,413,3,2006
2179,TERRACE,3963,10,2015
2180,ST ANTHONY,1427,7,2006
2181,GANDER INTL,3271,13,2018
2182,RAINBOW LAKE,302,2,2012
2183,FORT MCPHERSON,470,1,2018
2184,COMOX,5915,8,2009
2185,LAKE HARBOUR,308,2,2005
2186,MONT JOLI,2400,8,2013
2187,BERENS RIVER,144,1,2006
2188,GRANDE PRAIRIE,3082,6,2006
2189,SAULT STE-MARIE,4088,3,2007
2190,POWELL RIVER,1436,1,2014
2191,ILES DE LA MADELE,867,2,2003
2192,LESTER B. PEARSON,157985,334,2003
2193,SMITHERS,1015,2,2006
2194,HALIFAX,32724,83,2018
2195,FREDERICTON,4068,8,2005
2196,TERRACE,2106,5,2006
2197,FORT ST JOHN,2752,7,2006
2198,ROBERVAL,67,2,2010
2199,SOUTH INDIAN LAKE,334,2,2009
2200,EASTMAIN,374,2,2018
2201,BAKER LAKE,998,4,2010
2202,IQALUIT,3582,17,2007
2203,QUESNEL,664,1,2006
2204,PAULATUK,260,2,2005
2205,MUNICIPAL,87,1,2008
2206,ST ANTHONY,854,5,2013
2207,DEER LAKE,6148,13,2004
2208,CHIBOUGAMAU,755,3,2003
2209,HIGH LEVEL,1142,4,2006
2210,MONT TREMBLANT,169,5,2010
2211,CALGARY INTL,88624,146,2017
2212,CHURCHILL FALLS,464,2,2015
2213,LLOYDMINSTER,430,1,2006
2214,KAMLOOPS,3303,8,2006
2215,POVUNGNITUK,53715,112,2006
2216,FORT NORMAN,1929,4,2014
2217,GANDER INTL,228,7,2006
2218,ILES DE LA MADELE,610,2,2004
2219,MOOSONEE,1129,3,2009
2220,PANGNIRTUNG,1102,5,2015
2221,YELLOWKNIFE,8262,26,2006
2222,SASKATOON,11396,33,2011
2223,SOUTH INDIAN LAKE,518,3,2005
2224,NEMISCAU,523,2,2005
2225,LAKE HARBOUR,309,2,2006
2226,MAYO,106,4,2018
2227,RESOLUTE,539,5,2007
2228,YELLOWKNIFE,9006,28,2007
2229,WABUSH,2397,8,2009
2230,ILES DE LA MADELE,1330,5,2005
2231,INUVIK,3036,13,2007
2232,HAY RIVER,1398,4,2010
2233,CAPE DORSET,890,6,2009
2234,GANDER INTL,369,1,2007
2235,POVUNGNITUK,61422,122,2007
2236,CHARLO,282,2,2013
2237,KUGAARUK,569,4,2006
2238,MEDICINE HAT,1294,2,2011
2239,SALLUIT,747,4,2005
2240,PIKANGIKUM,1412,9,2008
2241,AKLAVIK,628,1,2004
2242,EASTMAIN,622,2,2006
2243,SMITHERS,1385,5,2003
2244,PEAWANUCK,103,1,2006
2245,SACHS HARBOUR,157,2,2018
2246,GASPE,1465,3,2016
2247,POND INLET,412,3,2003
2248,WEMINDJI,622,2,2006
2249,HIGH LEVEL,700,2,2005
2250,YARMOUTH,520,2,2012
2251,HAMILTON,6566,20,2006
2252,PANGNIRTUNG,1233,4,2013
2253,NORWAY HOUSE,100,1,2005
2254,POND INLET,523,6,2006
2255,CASTLEGAR,1343,2,2009
2256,KANGIKSUJUAQ,726,2,2011
2257,TIMMINS,3879,8,2018
2258,TOFINO,365,1,2006
2259,LONDON,6421,13,2009
2260,PIERRE ELLIOTT TRUDEAU INTL,82511,178,2007
2261,FREDERICTON,4549,11,2004
2262,CAPE DORSET,578,5,2017
2263,SEPT ILES,5014,12,2008
2264,LA GRANDE,851,4,2006
2265,KUUJJUARAPIK,1248,6,2010
2266,HAMILTON,3280,25,2016
2267,KANGIKSUJUAQ,620,3,2003
2268,REPULSE BAY,626,5,2006
2269,NORTH BAY,1988,5,2014
2270,PIERRE ELLIOTT TRUDEAU INTL,92492,251,2013
2271,VANCOUVER INTL,104655,168,2011
2272,INUKJUAK,981,3,2018
2273,AKLAVIK,524,1,2008
2274,RANKIN INLET,3551,16,2006
2275,PIERRE ELLIOTT TRUDEAU INTL,83510,200,2010
2276,PANGNIRTUNG,895,5,2017
2277,PIKANGIKUM,1060,6,2010
2278,HALIFAX,29822,83,2008
2279,CHIBOUGAMAU,768,3,2005
2280,FORT MCMURRAY,2267,5,2003
2281,BROCHET,81,3,2006
2282,PRINCE ALBERT,315,5,2017
2283,MEDICINE HAT,1313,1,2014
2284,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,29056,74,2003
2285,MOOSONEE,1055,3,2015
2286,SARNIA,1061,1,2005
2287,LAC BROCHET,160,5,2006
2288,EDMONTON INTL,45071,88,2011
2289,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,35874,75,2008
2290,GODS NARROWS,635,2,2003
2291,MEDICINE HAT,646,1,2005
2292,COPPERMINE,893,5,2007
2293,TALOYAK,569,4,2004
2294,PANGNIRTUNG,1234,4,2003
2295,BUTTONVILLE,1829,2,2003
2296,KAPUSKASING,859,1,2006
2297,AKULIVIK,742,2,2006
2298,FORT NELSON,406,2,2017
2299,PIERRE ELLIOTT TRUDEAU INTL,74955,162,2005
2300,COPPERMINE,722,4,2004
2301,FORT NELSON,302,2,2018
2302,WHITEHORSE,1782,10,2003
2303,AKULIVIK,831,2,2008
2304,SANDSPIT,432,1,2007
2305,IGLOOLIK,502,4,2005
2306,RANKIN INLET,4271,18,2011
2307,PRINCE GEORGE,4743,10,2006
2308,MARY'S HARBOUR,410,4,2003
2309,YELLOWKNIFE,9026,32,2011
2310,FORT MCPHERSON,303,1,2005
2311,SANIKILUAQ,180,1,2008
2312,PANGNIRTUNG,1238,4,2012
2313,ABBOTSFORD,2502,3,2009
2314,CHARLOTTETOWN,2091,9,2016
2315,PRINCE ALBERT,1728,2,2006
2316,ST JOHN,3509,5,2013
2317,GANDER INTL,2374,9,2003
2318,RESOLUTE,356,3,2012
2319,SAULT STE-MARIE,3920,3,2006
2320,MEDICINE HAT,1282,1,2008
2321,PORT HARDY,1483,2,2017
2322,HAY RIVER,1236,4,2004
2323,AKLAVIK,520,1,2006
2324,SALLUIT,871,4,2006
2325,ESKIMO POINT,894,4,2003
2326,WABUSH,2895,9,2006
2327,RIMOUSKI,316,2,2008
2328,THE PAS,1469,5,2008
2329,CHARLOTTETOWN,3269,8,2013
2330,OTTAWA INTL,32194,60,2006
2331,ROUYN,2081,6,2013
2332,TASIUJUAQ,676,2,2006
2333,ST JOHN'S,10993,33,2014
2334,AUPALUK,676,3,2006
2335,KANGIRSUK,996,4,2006
2336,PORT HARDY,1170,3,2004
2337,SEPT ILES,5375,15,2010
2338,LYTTON,120,2,2003
2339,BAGOTVILLE,1596,5,2010
2340,REGINA,11069,32,2010
2341,MAKKOVIK,601,2,2012
2342,MUNICIPAL,261,1,2004
2343,SIOUX LOOKOUT,5705,29,2007
2344,KUUJJUAQ,2931,14,2015
2345,KANGIQSUALUJJUAQ,523,2,2006
2346,RAINBOW LAKE,395,2,2007
2347,LESTER B. PEARSON,172065,330,2004
2348,LLOYDMINSTER,446,1,2010
2349,VICTORIA,15235,15,2006
2350,UMIUJAQ,797,3,2015
2351,STONY RAPIDS,2483,6,2003
2352,CAMBRIDGE BAY,1086,8,2004
2353,LANDSDOWNE HOUSE,1288,2,2005
2354,SACHIGO LAKE,448,7,2007
2355,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,32374,72,2006
2356,NAKINA,1043,2,2009
2357,TIMMINS,5378,5,2012
2358,SUDBURY,8766,6,2006
2359,KELOWNA,10516,20,2006
2360,FORT FRANCES,1231,3,2009
2361,FREDERICTON,4060,5,2013
2362,EDMONTON INTL,41481,74,2006
2363,SCHEFFERVILLE,889,4,2008
2364,RANKIN INLET,4059,17,2007
2365,WINDSOR,3548,8,2014
2366,SARNIA,1468,3,2003
2367,WOLLASTON LAKE,500,2,2006
2368,NANAIMO ARPT,2548,3,2005
2369,FOND DU LAC,799,2,2006
2370,FLIN FLON,1411,5,2012
2371,NATASHQUAN,791,4,2004
2372,BUFFALO NARROWS,52,2,2006
2373,LA RONGE,1968,6,2006
2374,PAULATUK,263,2,2008
2375,CORAL HARBOUR,860,7,2003
2376,FORT SIMPSON,774,3,2005
2377,DEASE LAKE,40,1,2016
2378,TASIUJUAQ,831,2,2013
2379,STONY RAPIDS,1172,2,2006
2380,SAULT STE-MARIE,4219,3,2008
2381,RED LAKE,3842,10,2010
2382,THUNDER BAY,9999,22,2014
2383,WASKAGANISH,1390,5,2003
2384,FORT MCMURRAY,4784,12,2006
2385,LANDSDOWNE HOUSE,525,3,2015
2386,TADOULE LAKE,107,4,2006
2387,ST JOHN,3566,5,2006
2388,CALGARY INTL,71748,130,2006
2389,GJOA HAVEN,1138,8,2009
2390,BIG TROUT LAKE,1527,9,2008
2391,"ROUND LAKE, OT",104,1,2005
2392,CAPE DORSET,571,3,2004
2393,BROCHET,59,2,2015
2394,DEER LAKE,156,1,2005
2395,FORT GOOD HOPE,800,5,2005
2396,KASABONIKA,303,3,2005
2397,LETHBRIDGE,1973,1,2004
2398,BAGOTVILLE,1679,6,2012
2399,MONT TREMBLANT,81,1,2005
2400,CARTWRIGHT,10,2,2017
2401,YORK LANDING,59,1,2005
2402,REPULSE BAY,965,9,2003
2403,RAINBOW LAKE,305,2,2008
2404,PICKLE LAKE,476,3,2014
2405,CHURCHILL FALLS,159,2,2005
2406,GANDER INTL,2140,5,2004
2407,FORT NELSON,342,1,2003
2408,VANCOUVER INTL,119707,241,2016
2409,POWELL RIVER,1412,1,2005
2410,TALOYAK,568,4,2006
2411,QUAQTAQ,724,2,2013
2412,NORMAN WELLS,2221,7,2010
2413,BIG TROUT LAKE,1154,6,2010
2414,FORT GOOD HOPE,598,3,2003
2415,KASABONIKA,1358,7,2003
2416,POND INLET,527,6,2007
2417,OLD CROW,240,3,2009
2418,FORT FRANKLIN,832,2,2005
2419,FREDERICTON,3650,5,2006
2420,SACHS HARBOUR,116,1,2006
2421,WEBEQUIE,663,2,2005
2422,IQALUIT,3695,17,2006
2423,FORT HOPE,1785,3,2005
2424,KITCHENER,1005,1,2005
2425,DAUPHIN,261,1,2007
2426,CASTLEGAR,1253,2,2007
2427,LANDSDOWNE HOUSE,1250,2,2006
2428,HAVRE ST-PIERRE,918,5,2005
2429,SIOUX LOOKOUT,7257,32,2016
2430,BATHURST,626,1,2007
2431,ST ANTHONY,1925,9,2005
2432,GODS RIVER,635,2,2003
2433,GILLIES BAY,988,1,2005
2434,THUNDER BAY,10552,21,2013
2435,WINDSOR,2442,2,2005
2436,HALL BEACH,313,3,2007
2437,MASSET,235,2,2005
2438,LETHBRIDGE,1758,2,2008
2439,ABBOTSFORD,2042,6,2005
2440,CASTLEGAR,1378,2,2015
2441,KUUJJUARAPIK,1370,7,2007
2442,TERRACE,2130,5,2005
2443,DAWSON CITY,662,4,2012
2444,RED LAKE,2015,4,2005
2445,PRINCE GEORGE,5338,13,2005
2446,CAT LAKE,283,2,2007
2447,MAKKOVIK,1244,4,2016
2448,HOLMAN,313,3,2015
2449,HAVRE ST-PIERRE,146,2,2010
2450,ROBERVAL,475,2,2003
2451,CRANBROOK,2141,3,2005
2452,NORTH BAY,2454,4,2007
2453,DAUPHIN,1260,2,2004
2454,GANDER INTL,884,5,2014
2455,QUESNEL,714,2,2005
2456,NORTH BAY,2339,3,2010
2457,CHARLOTTETOWN,2597,8,2003
2458,GRANDE PRAIRIE,2361,7,2005
2459,PIKANGIKUM,1097,5,2012
2460,ST JOHN,3648,5,2017
2461,GOOSE BAY,4565,14,2006
2462,WILLIAMS LAKE,1810,4,2004
2463,TIMMINS,4175,7,2017
2464,GJOA HAVEN,1032,6,2004
2465,PEAWANUCK,104,1,2005
2466,HALL BEACH,207,2,2004
2467,SANDY LAKE,156,1,2005
2468,LONDON,6105,12,2003
2469,PEACE RIVER,100,2,2005
2470,LLOYDMINSTER,463,2,2005
2471,KASABONIKA,766,9,2004
2472,FORT GOOD HOPE,628,3,2004
2473,KAMLOOPS,3149,8,2005
2474,FOND DU LAC,1471,5,2003
2475,KANGIKSUJUAQ,730,2,2016
2476,MONCTON,5716,23,2015
2477,HALL BEACH,296,2,2005
2478,LA GRANDE,886,4,2008
2479,NANISIVIK,116,2,2005
2480,HOLMAN,259,2,2006
2481,CHARLOTTETOWN,3750,7,2010
2482,LESTER B. PEARSON,192086,354,2008
2483,FORT NORMAN,1309,2,2008
2484,NAKINA,1044,2,2007
2485,MONT JOLI,1292,4,2016
2486,GJOA HAVEN,1010,6,2005
2487,QUESNEL,841,2,2004
2488,COPPERMINE,716,4,2005
2489,SARNIA,1273,3,2009
2490,FORT HOPE,340,4,2017
2491,LAC BROCHET,353,2,2004
2492,DRYDEN,1966,4,2008
2493,WHALE COVE,825,7,2003
2494,CAMBRIDGE BAY,1056,9,2005
2495,CLYDE RIVER,1135,6,2012
2496,KINGSTON,1728,2,2006
2497,KUGAARUK,599,5,2005
2498,EASTMAIN,621,2,2007
2499,GASPE,1450,2,2008
2500,KANGIRSUK,687,6,2003
2501,MUSKRAT DAM,781,3,2011
2502,"ROUND LAKE, OT",1144,5,2003
2503,NANISIVIK,35,3,2011
2504,LAC BROCHET,186,4,2005
2505,GANDER INTL,861,6,2011
2506,FORT ALBANY,650,2,2005
2507,INUVIK,2819,13,2014
2508,INUKJUAK,820,7,2004
2509,MONCTON,6792,25,2005
2510,SHAMATTAWA,237,2,2005
2511,KANGIKSUJUAQ,726,2,2005
2512,KENORA,1521,3,2012
2513,BIG TROUT LAKE,199,2,2005
2514,SANDSPIT,454,2,2005
2515,ST JOHN'S,10244,32,2013
2516,CORAL HARBOUR,624,4,2005
2517,LYNN LAKE,261,3,2005
2518,TERRACE,2491,7,2008
2519,GODS NARROWS,450,4,2006
2520,SASKATOON,11174,36,2012
2521,ST JOHN'S,10204,32,2012
2522,SANDSPIT,652,4,2004
2523,NEMISCAU,689,5,2003
2524,PORT HARDY,1209,2,2005
2525,CHESTERFIELD INLE,504,3,2005
2526,THOMPSON,3162,20,2005
2527,CORAL HARBOUR,952,6,2012
2528,MONT JOLI,1221,4,2005
2529,COMOX,3699,6,2003
2530,SWAN RIVER,632,1,2004
2531,SIOUX LOOKOUT,7810,19,2010
2532,ST JOHN,3646,4,2011
2533,TADOULE LAKE,608,2,2016
2534,ESKIMO POINT,782,3,2005
2535,QUAQTAQ,730,2,2006
2536,BROCHET,168,4,2005
2537,FORT FRANCES,1071,4,2015
2538,FORT ST JOHN,2898,7,2007
2539,RESOLUTE,412,4,2004
2540,PENTICTON,1438,3,2006
2541,TADOULE LAKE,324,3,2005
2542,BIG TROUT LAKE,104,1,2006
2543,URANIUM CITY,157,1,2004
2544,KANGIKSUJUAQ,730,2,2006
2545,BATHURST,524,3,2005
2546,HAMILTON,2878,16,2011
2547,NANAIMO ARPT,2565,3,2004
2548,SAULT STE-MARIE,3508,3,2005
2549,SARNIA,1070,2,2007
2550,MAKKOVIK,1089,4,2015
2551,THE PAS,1575,4,2005
2552,LANDSDOWNE HOUSE,1876,6,2003
2553,FLIN FLON,1533,5,2005
2554,CLYDE RIVER,430,2,2004
2555,CAT LAKE,1121,4,2003
2556,CHARLOTTETOWN,3537,11,2008
2557,SIOUX LOOKOUT,4924,37,2004
2558,LETHBRIDGE,959,1,2005
2559,MEDICINE HAT,1299,1,2004
2560,COPPERMINE,624,4,2006
2561,BAIE COMEAU,2513,7,2005
2562,OLD CROW,312,3,2005
2563,WHITEHORSE,2493,12,2017
2564,CORAL HARBOUR,778,4,2013
2565,SWAN RIVER,585,1,2005
2566,WHALE COVE,887,3,2007
2567,FORT ALBANY,1215,2,2003
2568,WINDSOR,2162,1,2009
2569,COLD LAKE,52,1,2011
2570,KELOWNA,10668,17,2007
2571,SCHEFFERVILLE,1007,4,2011
2572,SACHS HARBOUR,113,1,2003
2573,CHIBOUGAMAU,771,3,2006
2574,LA RONGE,2168,8,2005
2575,GILLAM,305,2,2004
2576,BROUGHTON ISLAND,573,3,2006
2577,CAT LAKE,378,5,2004
2578,HOLMAN,257,2,2005
2579,CAMPBELL RIVER,3908,6,2014
2580,AKLAVIK,545,1,2005
2581,KITCHENER,1019,1,2006
2582,ISLAND LAKE/GARDEN HILL,648,3,2003
2583,KUUJJUAQ,2172,8,2005
2584,REPULSE BAY,290,4,2009
2585,ROBERVAL,510,2,2006
2586,BAKER LAKE,912,3,2006
2587,MAKKOVIK,314,2,2004
2588,PAULATUK,248,2,2007
2589,FORT HOPE,1036,5,2011
2590,VAL D'OR,2436,7,2004
2591,PIERRE ELLIOTT TRUDEAU INTL,75136,168,2006
2592,LA GRANDE,804,5,2003
2593,ISLAND LAKE/GARDEN HILL,168,2,2009
2594,SCHEFFERVILLE,733,5,2005
2595,KANGIRSUK,965,3,2005
2596,MIRABEL,1598,9,2006
2597,FORT FRANKLIN,832,2,2003
2598,KUUJJUARAPIK,1248,8,2005
2599,BROUGHTON ISLAND,565,2,2003
2600,KITCHENER,1045,7,2015
2601,LA GRANDE,796,6,2005
2602,CHEVERY,1644,5,2015
2603,KANGIQSUALUJJUAQ,522,2,2005
2604,LONDON,5272,18,2017
2605,AKULIVIK,739,4,2005
2606,PRINCE GEORGE,4332,9,2011
2607,NAIN,642,4,2006
2608,WHITEHORSE,1931,9,2005
2609,BIG TROUT LAKE,1855,10,2003
2610,THUNDER BAY,9471,14,2005
2611,LESTER B. PEARSON,175049,346,2005
2612,SANIKILUAQ,187,2,2006
2613,RAINBOW LAKE,322,3,2003
2614,JEAN LESAGE INTL,15772,28,2005
2615,TASIUJUAQ,763,2,2005
2616,MUNICIPAL,260,1,2005
2617,MAKKOVIK,610,2,2013
2618,FORT ST JOHN,2693,5,2010
2619,TERRACE,3165,6,2013
2620,EDMONTON INTL,36151,72,2005
2621,ESKIMO POINT,1057,4,2011
2622,COMOX,5060,6,2004
2623,WASKAGANISH,1328,6,2013
2624,NORMAN WELLS,2220,7,2005
2625,TERRACE,2012,4,2004
2626,KUUJJUARAPIK,1295,7,2006
2627,KANGIKSUJUAQ,726,2,2018
2628,FOND DU LAC,863,4,2005
2629,FORT FRANKLIN,835,2,2009
2630,HAMILTON,8950,24,2003
2631,KENORA,1646,3,2011
2632,LESTER B. PEARSON,179269,326,2006
2633,STONY RAPIDS,1442,7,2005
2634,POINTS NORTH LAND,338,2,2005
2635,BIG TROUT LAKE,932,9,2007
2636,KANGIKSUJUAQ,726,2,2007
2637,URANIUM CITY,128,3,2005
2638,YELLOWKNIFE,8258,23,2003
2639,CALGARY INTL,82090,135,2008
2640,YORK LANDING,366,1,2004
2641,NORTH BAY,2556,3,2009
2642,CHARLOTTETOWN,2620,10,2005
2643,SHAMATTAWA,804,4,2007
2644,PANGNIRTUNG,814,3,2016
2645,FORT SEVERN,365,2,2018
2646,FREDERICTON,4013,7,2008
2647,SACHS HARBOUR,104,1,2008
2648,WASKAGANISH,1291,5,2006
2649,KINGSTON,2222,6,2003
2650,OXFORD HOUSE,1586,6,2007
2651,MONT JOLI,611,2,2007
2652,SWAN RIVER,143,1,2006
2653,CRANBROOK,2623,5,2008
2654,GASPE,1460,2,2009
2655,FORT MCPHERSON,93,1,2006
2656,THOMPSON,5290,17,2003
2657,CHESTERFIELD INLE,1033,8,2003
2658,OLD CROW,367,3,2018
2659,PEACE RIVER,624,3,2004
2660,CHARLO,138,1,2003
2661,GASPE,2421,5,2005
2662,POND INLET,675,7,2013
2663,WILLIAMS LAKE,1353,2,2018
2664,GJOA HAVEN,959,10,2007
2665,SYDNEY,2092,8,2005
2666,QUESNEL,853,2,2007
2667,CAPE DORSET,576,4,2006
2668,DAWSON CREEK,706,5,2005
2669,SCHEFFERVILLE,1090,4,2017
2670,HALIFAX,26444,70,2005
2671,LONDON,7016,13,2010
2672,ABBOTSFORD,2575,3,2008
2673,ROBERVAL,498,2,2005
2674,BAKER LAKE,657,3,2005
2675,VANCOUVER INTL,111838,193,2005
2676,FORT CHIPEWYAN,80,2,2010
2677,NORWAY HOUSE,442,1,2004
2678,FREDERICTON,3438,5,2015
2679,BROCHET,353,2,2004
2680,NANAIMO ARPT,3688,5,2015
2681,REGINA,7981,17,2005
2682,BAGOTVILLE,1029,1,2005
2683,CHURCHILL FALLS,157,1,2004
2684,BELLA BELLA,762,2,2004
2685,FORT ALBANY,622,2,2006
2686,BELLA COOLA,448,2,2003
2687,SASKATOON,9617,21,2006
2688,ROUYN,1452,5,2006
2689,MUNICIPAL,230,2,2003
2690,ST JOHN'S,9116,27,2005
2691,LONDON,5569,11,2011
2692,ROUYN,2161,5,2003
2693,CHEVERY,2080,10,2003
2694,QUAQTAQ,724,2,2010
2695,MONCTON,6369,16,2008
2696,SIOUX LOOKOUT,7012,26,2014
2697,ATTAWAPISKAT,486,2,2004
2698,HOPEDALE,468,2,2005
2699,SANDSPIT,460,1,2017
2700,GILLAM,626,2,2013
2701,ILES DE LA MADELE,951,6,2006
2702,REGINA,8347,23,2003
2703,PICKLE LAKE,360,2,2015
2704,PORT MENIER,378,2,2018
2705,DRYDEN,1902,5,2006
2706,NATASHQUAN,780,3,2016
2707,GILLAM,627,2,2016
2708,FORT ALBANY,620,2,2015
2709,GOOSE BAY,3507,13,2009
2710,DAWSON CITY,608,3,2008
2711,GRISE FIORD,103,1,2004
2712,RED LAKE,2933,10,2018
2713,SIOUX LOOKOUT,8292,32,2008
2714,CHEVERY,1648,5,2004
2715,CAT LAKE,576,2,2008
2716,PORT HARDY,1314,2,2007
2717,THUNDER BAY,9692,22,2015
2718,FORT MCPHERSON,628,1,2004
2719,ROUYN,2111,4,2004
2720,VICTORIA,15517,15,2009
2721,SALLUIT,763,4,2013
2722,WINDSOR,2283,1,2006
2723,EASTMAIN,624,2,2005
2724,SCHEFFERVILLE,1261,5,2013
2725,THUNDER BAY,11444,23,2012
2726,FORT SIMPSON,779,3,2007
2727,WINDSOR,2589,2,2004
2728,CHURCHILL FALLS,155,1,2009
2729,BIG TROUT LAKE,1149,6,2012
2730,HOPEDALE,356,2,2003
2731,VANCOUVER INTL,102739,175,2003
2732,GRANDE PRAIRIE,3460,5,2008
2733,BERENS RIVER,576,1,2008
2734,CASTLEGAR,1350,2,2004
2735,LANDSDOWNE HOUSE,731,5,2013
2736,CAMBRIDGE BAY,1201,8,2012
2737,GILLIES BAY,1293,1,2007
2738,WEBEQUIE,1129,11,2004
2739,ROUYN,1537,6,2016
2740,FORT FRANKLIN,1253,4,2014
2741,REPULSE BAY,675,5,2005
2742,RESOLUTE,418,5,2003
2743,CAMPBELL RIVER,3949,5,2016
2744,PENTICTON,1535,2,2015
2745,WASKAGANISH,1268,5,2012
2746,RANKIN INLET,3568,16,2005
2747,OLD CROW,225,2,2015
2748,ABBOTSFORD,2610,10,2004
2749,TUKTOYAKTUK,719,2,2005
2750,NANISIVIK,102,2,2003
2751,ST JOHN'S,8368,18,2009
2752,MUSKRAT DAM,864,6,2008
2753,FORT ST JOHN,3198,9,2005
2754,KENORA,1009,3,2018
2755,MARY'S HARBOUR,314,2,2008
2756,ALMA,451,3,2012
2757,UMIUJAQ,524,4,2004
2758,OLD CROW,313,3,2006
2759,VAL D'OR,1667,5,2006
2760,ST JOHN'S,8840,23,2006
2761,OXFORD HOUSE,1666,6,2008
2762,GODS NARROWS,628,2,2004
2763,ABBOTSFORD,3969,10,2018
2764,KANGIQSUALUJJUAQ,417,1,2003
2765,CHARLOTTETOWN,3362,5,2018
2766,TADOULE LAKE,212,2,2003
2767,KELOWNA,13145,38,2016
2768,THUNDER BAY,9710,18,2003
2769,IVUJIVIK,724,2,2013
2770,GILLIES BAY,989,1,2004
2771,CHARLOTTETOWN,2287,8,2015
2772,WOLLASTON LAKE,32,4,2018
2773,LAKE HARBOUR,206,2,2004
2774,CAPE DORSET,859,5,2012
2775,SEPT ILES,5748,15,2011
2776,RESOLUTE,406,4,2005
2777,WHITEHORSE,2067,13,2016
2778,ATTAWAPISKAT,414,2,2006
2779,HALIFAX,29121,81,2007
2780,FORT SIMPSON,778,3,2004
2781,WHITEHORSE,2859,14,2018
2782,PUKATAWAGAN,157,1,2004
2783,UMIUJAQ,437,3,2006
2784,NEMISCAU,373,2,2017
2785,TERRACE,2307,6,2010
2786,FORT SMITH,879,3,2009
2787,FORT RESOLUTION,10,1,2015
2788,BELLA BELLA,795,2,2008
2789,SARNIA,1293,1,2011
2790,WEMINDJI,624,2,2004
2791,LA RONGE,3248,8,2003
2792,SOUTH INDIAN LAKE,420,3,2006
2793,SANIKILUAQ,467,3,2017
2794,BROUGHTON ISLAND,841,4,2009
2795,SASKATOON,8614,17,2004
2796,SASKATOON,11436,37,2018
2797,WASKAGANISH,1454,5,2004
2798,WEBEQUIE,1254,6,2003
2799,CORAL HARBOUR,613,4,2007
2800,RED LAKE,3168,8,2003
2801,NANISIVIK,457,3,2009
2802,PRINCE GEORGE,5010,14,2003
2803,THE PAS,621,2,2018
2804,OXFORD HOUSE,128,2,2009
2805,DEER LAKE,614,8,2016
2806,FORT HOPE,439,5,2016
2807,NAKINA,86,2,2011
2808,LYTTON,779,1,2007
2809,SAULT STE-MARIE,3588,3,2004
2810,BAIE COMEAU,1320,5,2006
2811,PIERRE ELLIOTT TRUDEAU INTL,92107,275,2014
2812,MONCTON,5986,25,2003
2813,RAINBOW LAKE,300,2,2009
2814,NATASHQUAN,1005,8,2003
2815,INUKJUAK,986,3,2011
2816,WASKAGANISH,1303,5,2005
2817,HALL BEACH,573,6,2010
2818,FORT NELSON,750,4,2004
2819,KANGIRSUK,1020,3,2011
2820,RED SUCKER LAKE,517,6,2018
2821,KUUJJUARAPIK,1401,6,2016
2822,RANKIN INLET,3491,15,2004
2823,DEER LAKE,626,4,2015
2824,NEMISCAU,676,2,2004
2825,UMIUJAQ,732,3,2012
2826,LETHBRIDGE,1726,2,2010
2827,LAKE HARBOUR,206,1,2008
2828,LLOYDMINSTER,434,1,2007
2829,ESKIMO POINT,929,3,2004
2830,ROBERVAL,479,2,2004
2831,HAVRE ST-PIERRE,571,3,2018
2832,PANGNIRTUNG,1238,4,2005
2833,GODS NARROWS,100,2,2005
2834,IVUJIVIK,768,6,2004
2835,HALIFAX,33117,88,2017
2836,TADOULE LAKE,427,2,2004
2837,PRINCE GEORGE,6637,20,2018
2838,TUKTOYAKTUK,678,2,2003
2839,KAPUSKASING,1173,1,2004
2840,KELOWNA,9310,16,2004
2841,SUDBURY,6875,7,2004
2842,TADOULE LAKE,626,4,2018
2843,RED LAKE,2594,8,2004
2844,FORT FRANKLIN,838,2,2008
2845,POWELL RIVER,1437,2,2003
2846,IVUJIVIK,738,2,2007
2847,LANDSDOWNE HOUSE,1691,6,2004
2848,PAULATUK,156,1,2012
2849,LLOYDMINSTER,441,1,2009
2850,FORT HOPE,2267,8,2004
2851,STEPHENVILLE,681,6,2005
2852,GASPE,1216,2,2004
2853,MONCTON,6546,23,2004
2854,SHAMATTAWA,471,2,2004
2855,GASPE,1770,5,2006
2856,AKULIVIK,726,2,2017
2857,DAWSON CREEK,609,3,2011
2858,SYDNEY,2235,4,2006
2859,EDMONTON INTL,44746,85,2010
2860,BATHURST,697,1,2013
2861,FOND DU LAC,1405,4,2004
2862,NAIN,579,3,2008
2863,FORT MCMURRAY,6102,9,2010
2864,MUSKRAT DAM,709,5,2014
2865,YELLOWKNIFE,8205,23,2004
2866,PENTICTON,1049,1,2010
2867,STEPHENVILLE,1173,9,2003
2868,FREDERICTON,3872,11,2003
2869,JEAN LESAGE INTL,18690,57,2012
2870,DAUPHIN,262,1,2008
2871,OLD CROW,314,3,2004
2872,TIMMINS,3638,5,2003
2873,CORAL HARBOUR,637,5,2004
2874,KANGIKSUJUAQ,635,4,2004
2875,KANGIQSUALUJJUAQ,467,2,2004
